URL,no of '.',special char,url length,susp_words,same_tld,htp_count,brand_name_location,data:uri,phpOrEmpty,#hyperlinks,empty_link,fake links,empty_links_ratio,errorLinks,redirect_links,class
"https://docerom.ro/chase-login/home
com/",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
http://revolutionpropertiesllc.com/,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
http://nautiyachti.com/,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
http://hunter-ish.com/,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
http://fastfoodmenuprice.com/,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
http://fastfoodmenuprice.com/,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
http://fastfoodmenuprice.com/,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"http://eliasjohansson.se/docb/box.doc
com/",0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
http://ebaylinks.com/,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1
"http://amazoze.tk/adv
com/",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"http://amazoea.cf/contents
com/",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"http://amazinggoodies.ca/win/dr
com/",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
http://www.primeroelcliente.com/,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
http://www.primeroelcliente.com/,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
"https://supporttrack.org/chase/validating.php?cmd=login_submit&amp;id=$praga$praga&amp;session=$praga$praga
com/",0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
"https://texastechuniversity.xyz/images/img/confirmnewboa/login.php?cmd=
com/",0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
"https://texastechuniversity.xyz/images/img/confirmnewboa/login.php?redacted=
com/",0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
http://download.sada-group.com/,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
"http://kimpot.ga/highrise/3581f6671575633c3edef40cff3167ee/sf8743rg387efg9823983.html
com/",0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1
https://staleyelectrician.is-a-designer.com/,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
"http://apple-id.siginin.no-idi9983.oasisministries.org.au/
com/",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
http://doublelwindmills.com/,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
http://doublelwindmills.com/,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
"http://www.batu-permata.top/cgi--bin/office/
com/",0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
http://mceventoshermosillo.com/,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
https://cobrodesa.com/,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
https://cobrodesa.com/,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
http://getupandthrivemaine.com/,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
http://getupandthrivemaine.com/,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
"https://onedegreenorth.in/home/home/oneddrive/
com/",0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
http://nautiyachti.com/,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
http://cbhsncable.com/,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
"http://dogtrainingnowofcharleston.net/office/html/
com/",0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
http://extrememotivationmakeover.com/,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
http://quiethardware.com/,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
http://riteopassage.com/,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
http://zomelokaco.com/,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
http://vsbwc21.com/,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
http://mceventoshermosillo.com/,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
"http://u642573atu.ha004.t.justns.ru/rts/p/22c9713c05458e7d9bf289deb7a777dd/
com/",1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
http://www.fresleitlie.com/,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
https://1accesd8.com/,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
"https://highuptours.xyz/cgi--bin/office/
com/",0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
